#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
[Rec];7.5;78;Horror;Jaume Balagueró;Manuela Velasco;Pablo Rosso;Carlos Lasarte;apartment building|character's point of view camera shot|fire station|subjective camera|television reporter
[Rec] 2;6.6;85;Horror;Jaume Balagueró;Jonathan D. Mellor;Pablo Rosso;Andrea Ros;apartment|apartment building|blood sample|crucifix|zombie
10 Cloverfield Lane;7.3;104;Drama|Horror|Mystery|Sci-Fi|Thriller;Dan Trachtenberg;Bradley Cooper;John Gallagher Jr.;Sumalee Montano;alien|bunker|car crash|kidnapping|minimal cast
10 Days in a Madhouse;7.5;111;Drama;Timothy Hines;Christopher Lambert;Kelly LeBrock;Alexandra Callas;
10 Things I Hate About You;7.2;97;Comedy|Drama|Romance;Gil Junger;Joseph Gordon-Levitt;Heath Ledger;Andrew Keegan;dating|protective father|school|shrew|teen movie
10,000 B.C.;7.2;22;Comedy;Christopher Barnard;Mathew Buck;;;
102 Dalmatians;4.8;100;Adventure|Comedy|Family;Kevin Lima;Ioan Gruffudd;Eric Idle;Jim Carter;dog|parole|parole officer|prison|puppy
10th & Wolf;6.4;107;Crime|Drama|Thriller;Robert Moresco;Brian Dennehy;Brad Renfro;Dash Mihok;desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker
11:14;7.2;85;Comedy|Crime|Drama;Greg Marcks;Henry Thomas;Barbara Hershey;Shawn Hatosy;convenience store|multiple perspectives|murder|paramedic|van
12 Angry Men;8.9;96;Crime|Drama;Sidney Lumet;Jack Warden;Lee J. Cobb;John Fiedler;courtroom|dialogue driven|dialogue driven storyline|jury|murder
12 Monkeys;7.6;42;Adventure|Drama|Mystery|Sci-Fi|Thriller;;Amanda Schull;Kirk Acevedo;Tom Noonan;epidemic|mission|paradox|plague|virus
12 Rounds;5.6;108;Action|Crime|Thriller;Renny Harlin;Taylor Cole;Ashley Scott;Nick Gomez;2000s|detective|sadist|terrorism|terrorist
12 Years a Slave;8.1;134;Biography|Drama|History;Steve McQueen;Quvenzhané Wallis;Scoot McNairy;Taran Killam;racism|separation from family|social injustice|torture|whipping
127 Hours;7.6;94;Adventure|Biography|Drama|Thriller;Danny Boyle;James Franco;Treat Williams;Kate Burton;alone|aron ralston|based on autobiography|canyon|survival
13 Going on 30;6.1;98;Comedy|Fantasy|Romance;Gary Winick;Jennifer Garner;Judy Greer;Christa B. Allen;13 year old|13th birthday|30 year old|wish|year 1987
13 Hours;7.4;144;Action|Drama|Thriller|War;Michael Bay;Toby Stephens;James Badge Dale;David Costabile;based on true story|cia agent|libya|mercenary|u.s. ambassador
1408;6.8;114;Fantasy|Horror;Mikael Håfström;Drew Powell;Kim Thomson;Alexandra Silber;book|debunking|evil|hotel|paranormal phenomena
15 Minutes;6.1;120;Action|Crime|Drama|Thriller;John Herzfeld;Robert De Niro;Charlize Theron;Kelsey Grammer;criminal|detective|fire|homicide|media
16 Blocks;6.6;102;Action|Crime|Drama|Thriller;Richard Donner;Bruce Willis;David Zayas;Sasha Roiz;alcoholic|courthouse|detective|jail|witness
16 to Life;6.3;89;Comedy|Romance;Becky Smith;Will Rothhaar;Emily Baldoni;Hallee Hirsh;birthday|digit in title|love|masturbation|teenager
17 Again;6.4;102;Comedy|Drama|Family|Fantasy|Romance;Burr Steers;Matthew Perry;Hunter Parrish;Thomas Lennon;adult as child|father son relationship|high school student|janitor|school
1776;7.6;168;Drama|Family|History|Musical;Peter H. Hunt;Blythe Danner;Ken Howard;Howard Caine;continental congress|debate|declaration of independence|massachusetts|pennsylvania
1911;6;121;Action|Adventure|Drama|History|War;Li Zhang;Bingbing Li;Joan Chen;Jaycee Chan;china|disarming someone|qing dynasty|stabbed with a bayonet|war violence
1941;5.9;142;Action|Comedy|War;Steven Spielberg;Christopher Lee;John Belushi;Treat Williams;california|captain|cult film|pearl harbor|submarine
1982;7.1;90;Drama;Tommy Oliver;Bokeem Woodbine;Ruby Dee;Quinton Aaron;number in title|semi autobiographical
2 Fast 2 Furious;5.9;107;Action|Crime|Thriller;John Singleton;Paul Walker;Cole Hauser;Mo Gallini;bust|racing|shotgun|street racing|undercover agent
2 Guns;6.7;109;Action|Comedy|Crime|Drama|Thriller;Baltasar Kormákur;Denzel Washington;Patrick Fischler;Fred Ward;close up of breasts|female nudity|fugitive|money|undercover
02:13;4.8;96;Horror|Thriller;Charles Adelman;Teri Polo;Kevin Pollak;Jere Burns;death|forensic|murder|profiler|serial killer
20 Dates;5.3;87;Biography|Comedy|Romance;Myles Berkowitz;Tia Carrere;Tom Ardavany;Robert McKee;fake documentary|hidden camera|mockumentary|narrative|reality show
20 Feet from Stardom;7.4;91;Documentary|Music;Morgan Neville;Sheryl Crow;Lou Adler;Merry Clayton;backup singer|band|bechdel test passed|concert footage|singer
20,000 Leagues Under the Sea;7.2;127;Adventure|Drama|Family|Fantasy|Sci-Fi;Richard Fleischer;James Mason;Robert J. Wilke;Paul Lukas;captain|expedition|sea|submarine|whale
20,000 Leagues Under the Sea;7.2;127;Adventure|Drama|Family|Fantasy|Sci-Fi;Richard Fleischer;James Mason;Robert J. Wilke;Paul Lukas;captain|expedition|sea|submarine|whale
200 Cigarettes;5.9;101;Comedy|Drama|Romance;Risa Bramon Garcia;Janeane Garofalo;Dave Chappelle;Gaby Hoffmann;bartender|friend|new year's eve|party|punk
2001: A Space Odyssey;8.3;161;Adventure|Mystery|Sci-Fi;Stanley Kubrick;Keir Dullea;Gary Lockwood;Glenn Beck;ancient astronaut|famous line|message from outer space|monolith|star child
2012;5.8;158;Action|Adventure|Sci-Fi;Roland Emmerich;Oliver Platt;Liam James;Tom McCarthy;ark|catastrophe|geologist|president|writer
2016: Obama's America;5.1;87;Documentary;Dinesh D'Souza;Barack Obama;Zackary Steven Graham;Dinesh D'Souza;critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment
2046;7.5;129;Drama|Romance|Sci-Fi;Kar-Wai Wong;Li Gong;Tony Chiu Wai Leung;Maggie Cheung;number in title|train|woman slaps a man|woman slaps man|written by director
21;6.8;123;Crime|Drama|Thriller;Robert Luketic;Kevin Spacey;Jim Sturgess;Josh Gad;based on true story|blackjack|card counting|gambling|massachusetts institute of technology
21 & Over;5.9;93;Comedy;Jon Lucas;Justin Chon;Josie Loren;Sarah Wright;21st birthday|college student|drunken man|pubic hair|standing up to father
21 Grams;7.7;124;Drama;Alejandro G. Iñárritu;Naomi Watts;Eddie Marsan;Danny Huston;accident|faith|love|mathematician|nonlinear timeline
21 Jump Street;7.2;109;Action|Comedy|Crime;Phil Lord;Channing Tatum;Dax Flame;Rob Riggle;narcotics|parody|police|remake|undercover cop
22 Jump Street;7.1;112;Action|Comedy|Crime;Phil Lord;Channing Tatum;Craig Roberts;Amber Stevens West;college|drugs|hidden camera|tattoo|undercover
24 7: Twenty Four Seven;7.1;96;Comedy|Drama|Romance|Sport;Shane Meadows;Bob Hoskins;Annette Badland;Karl Collins;fight|gang|hiking|wales|working class
25th Hour;7.7;108;Drama;Spike Lee;Philip Seymour Hoffman;Rosario Dawson;Aaron Stanford;bar|dream|drug dealing|nightclub|widower
27 Dresses;6.1;111;Comedy|Romance;Anne Fletcher;Judy Greer;Bern Cohen;Yetta Gottesman;boss|bridesmaid|friend|love|wedding
28 Days;6;103;Comedy|Drama;Betty Thomas;Steve Buscemi;Viggo Mortensen;Elizabeth Perkins;12 step program|box office hit|car accident|vomiting|wedding
28 Days Later...;7.6;113;Drama|Horror|Sci-Fi|Thriller;Danny Boyle;Noah Huntley;Megan Burns;David Schneider;laboratory|london england|military|virus|zombie apocalypse
28 Weeks Later;7;100;Drama|Horror|Sci-Fi;Juan Carlos Fresnadillo;Jeremy Renner;Harold Perrineau;Catherine McCormack;paris france|rage|sniper|u.s. army|zombie apocalypse
3;6.8;119;Comedy|Drama|Romance;Tom Tykwer;Devid Striesow;Sebastian Schipper;Sophie Rois;female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair
3 Backyards;5.2;88;Drama;Eric Mendelsohn;Embeth Davidtz;Edie Falco;Kathryn Erbe;number in title
3 Days to Kill;6.2;123;Action|Drama|Thriller;McG;Connie Nielsen;Richard Sammel;Tómas Lemarquis;cancer|estranged wife|leather dress|spy|terrorist
3 Men and a Baby;5.9;102;Comedy|Drama|Family;Leonard Nimoy;Tom Selleck;Ted Danson;Steve Guttenberg;1980s|baby|heroin|package|questioned by police
3 Ninjas Kick Back;4.3;93;Action|Comedy|Family;Charles T. Kanganis;Victor Wong;Dustin Nguyen;Don Stark;1990s|dagger|japan|mousetrap|stick fight
3 Strikes;4;82;Comedy;DJ Pooh;Mo'Nique;Mike Epps;Faizon Love;adult diaper|diaper|digit in title|dream|sawed off shotgun
3:10 to Yuma;7.8;122;Adventure|Crime|Drama|Western;James Mangold;Christian Bale;Logan Lerman;Gretchen Mol;outlaw|rancher|small western town|stagecoach|train
30 Days of Night;6.6;113;Horror;David Slade;Danny Huston;Mark Rendall;Megan Franich;alaska|small town|snow|vampire|winter
30 Minutes or Less;6.1;83;Action|Comedy|Crime;Ruben Fleischer;Bianca Kajlich;Dilshad Vadsaria;Fred Ward;bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo;2.6;80;Comedy;Craig Moss;French Stewart;Ashley Martin;Olivia Alexander;exorcism|female nudity|haunted house|lesbian kiss|masturbation
300;7.7;117;Action|Drama|Fantasy|War;Zack Snyder;Gerard Butler;Michael Fassbender;Vincent Regan;battle|epic|greece|spartan|warrior
300: Rise of an Empire;6.2;102;Action|Drama|Fantasy|War;Noam Murro;Eva Green;Sullivan Stapleton;Peter Mensah;army|commander|female rear nudity|greek|navy
3000 Miles to Graceland;5.9;125;Action|Comedy|Crime|Thriller;Demian Lichtenstein;Jon Lovitz;Bokeem Woodbine;Ice-T;casino|elvis impersonator|gun|heist|rascal
3rd Rock from the Sun;7.8;60;Comedy|Family|Sci-Fi;;Joseph Gordon-Levitt;Wayne Knight;Kristen Johnston;alien|digit in title|human form|number 3 in title|talking on a rooftop
4 Months, 3 Weeks and 2 Days;7.9;113;Drama;Cristian Mungiu;Anamaria Marinca;Vlad Ivanov;Alexandru Potocean;female rear nudity|friend|hotel|rainy night|towel
40 Days and 40 Nights;5.6;96;Comedy|Romance;Michael Lehmann;Emmanuelle Vaugier;Vinessa Shaw;Paulo Costanzo;female on male rape|lent|male rear nudity|masturbation|sex
42;7.5;128;Biography|Drama|Sport;Brian Helgeland;Harrison Ford;Christopher Meloni;Nicole Beharie;baseball|baseball player|brooklyn dodgers|major league baseball|racism
42nd Street;7.7;89;Comedy|Musical|Romance;Lloyd Bacon;Ginger Rogers;Dick Powell;George Brent;chorus girl|chorus line|director|gala premiere|song
47 Ronin;6.3;128;Action|Adventure|Drama|Fantasy;Carl Rinsch;Keanu Reeves;Cary-Hiroyuki Tagawa;Jin Akanishi;box office flop|ronin|samurai|shogun|tournament
5 Days of War;5.6;113;Action|Drama|War;Renny Harlin;Richard Coyle;Kenneth Cranham;Ana Imnadze;cameraman|epic battle|journalist|south ossetia|street shootout
50 First Dates;6.8;99;Comedy|Romance;Peter Segal;Adam Sandler;Peter Dante;Allen Covert;dream|hawaii|hawaiian shirt|short term memory loss|veterinarian
50/50;7.7;100;Comedy|Drama|Romance;Jonathan Levine;Joseph Gordon-Levitt;Anna Kendrick;Bryce Dallas Howard;best friend|cancer|survival rate|therapist|vomiting
500 Days of Summer;7.7;95;Comedy|Drama|Romance;Marc Webb;Joseph Gordon-Levitt;Chloë Grace Moretz;Zooey Deschanel;friend|greeting card|office|summer|true love
51 Birch Street;7.5;90;Documentary;Doug Block;Carol Block;Ellen Block;Mike Block;address as title|number in title|parents
54;5.8;121;Drama|Music;Mark Christopher;Salma Hayek;Ellen Albertini Dow;Sela Ward;angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco
55 Days at Peking;6.8;154;Action|Adventure|Drama|History|War;Nicholas Ray;Ava Gardner;David Niven;John Ireland;ambassador|boxer rebellion|china|colonialism|peking china
8 Days;6.9;90;Drama|Thriller;Jaco Booyens;Nicole Smolen;Sebastian Aguilar;Ivette Alvarez;
8 Heads in a Duffel Bag;5.3;95;Comedy|Crime;Tom Schulman;Kristy Swanson;George Hamilton;Dyan Cannon;camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose
8 Mile;7;110;Drama|Music;Curtis Hanson;Mekhi Phifer;Omar Benson Miller;Evan Jones;competition|contest|friend|self expression|white rapper
8 Women;7.1;111;Comedy|Crime|Musical|Romance;François Ozon;Catherine Deneuve;Isabelle Huppert;Emmanuelle Béart;cook|industrialist|secret|snowstorm|suspect
8: The Mormon Proposition;7.1;80;Documentary;Reed Cowan;Dustin Lance Black;Emily Pearson;Gavin Newsom;church|marriage|mormon|mormon church|proposition
88 Minutes;5.9;108;Crime|Drama|Mystery|Thriller;Jon Avnet;Al Pacino;Alicia Witt;Deborah Kara Unger;death|fbi|forensics|murder|serial killer
8MM;6.5;123;Mystery|Thriller;Joel Schumacher;Nicolas Cage;Chris Bauer;Anthony Heald;investigation|obsession|private eye|private investigator|snuff film
9;7.1;79;Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller;Shane Acker;Martin Landau;Alan Oppenheimer;Tom Kane;hope|key|machine|number|rag doll
9 � Weeks;5.9;112;Drama|Romance;Adrian Lyne;David Margulies;Karen Young;Kim Chan;blindfolded woman|control|male dominance|sex game|sex in public
90 Minutes in Heaven;4.6;121;Drama;Michael Polish;Hayden Christensen;Bobby Batson;Cynthia Barrett;heaven|hospital|praying|pronounced dead|recovery
A Beautiful Mind;8.2;135;Biography|Drama;Ron Howard;Adam Goldberg;Austin Pendleton;Judd Hirsch;conspiracy|cryptography|mathematician|mental illness|nobel prize
A Beginner's Guide to Snuff;8.7;87;Comedy|Horror|Thriller;Mitchell Altieri;Kimberley Crossman;Luke Edwards;Bree Williamson;
A Better Life;7.2;98;Drama|Romance;Chris Weitz;Demián Bichir;Eddie 'Piolin' Sotelo;Robert Peters;gang|gardener|money|police|truck
A Bridge Too Far;7.4;175;Drama|History|War;Richard Attenborough;Ryan O'Neal;Dirk Bogarde;Wolfgang Preiss;airborne troops|allies|operation market garden|panzer|paratrooper
A Bug's Life;7.2;95;Adventure|Animation|Comedy|Family|Fantasy;John Lasseter;Kevin Spacey;Madeline Kahn;John Ratzenberger;ant|circus|grasshopper|misunderstanding|overhearing
A Charlie Brown Christmas;8.4;25;Animation|Comedy|Family;Bill Melendez;Peter Robbins;Bill Melendez;Christopher Shea;christmas|christmas tree|commercialism|meaning of christmas|tree
A Christmas Carol;6.8;96;Animation|Drama|Family|Fantasy;Robert Zemeckis;Robin Wright;Colin Firth;Gary Oldman;charles dickens|christmas|christmas eve|ghost|scrooge
A Christmas Story;8.1;94;Comedy|Family;Bob Clark;Zack Ward;Darren McGavin;Scott Schwartz;bb gun|boy|bully|christmas|tongue stuck on a pole
A Cinderella Story;5.9;95;Comedy|Family|Romance;Mark Rosman;Dan Byrd;Lin Shaye;Julie Gonzalo;cinderella story|correspondence|evil step mother|female protagonist|teenage girl
A Civil Action;6.5;115;Drama;Steven Zaillian;Robert Duvall;Kathleen Quinlan;Sydney Pollack;1980s|law firm|lawsuit|lawyer|toxic waste
A Dangerous Method;6.5;99;Biography|Drama|Thriller;David Cronenberg;Michael Fassbender;Viggo Mortensen;Sarah Gadon;carl jung|patient|psychoanalysis|russian|sigmund freud
A Dog of Flanders;6.3;100;Drama|Family;Kevin Brodie;Bruce McGill;Cheryl Ladd;Jack Warden;artist|box office flop|dog|drawing|flanders
A Dog's Breakfast;7;88;Comedy;David Hewlett;Christopher Judge;David Hewlett;Paul McGillion;dog|vegetarian
A Dog's Breakfast;7;88;Comedy;David Hewlett;Christopher Judge;David Hewlett;Paul McGillion;dog|vegetarian
